Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:23:31 2021,72,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11760,2.33,5,0,1388,48,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:23:34 2021,75,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11760,2.33,5,0,1388,48,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:23:37 2021,78,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11760,2.37,5,0,1388,48,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:23:40 2021,81,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11760,2.41,5,0,1388,50,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:23:43 2021,84,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11760,2.41,5,0,1388,48,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:23:46 2021,87,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11760,2.46,5,0,1388,46,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:23:49 2021,90,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11760,2.46,5,0,1388,44,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:23:52 2021,93,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11700,2.50,5,0,1388,44,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:23:55 2021,96,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11700,2.54,5,0,1388,44,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:23:58 2021,99,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11700,2.54,5,0,1388,45,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:24:01 2021,102,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11700,2.58,5,0,1388,45,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:24:04 2021,105,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11700,2.58,5,0,1388,47,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:24:07 2021,108,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11700,2.62,6,0,1388,56,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:24:10 2021,111,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11700,2.66,6,0,1388,54,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:24:13 2021,114,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11700,2.66,6,0,1388,54,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:24:16 2021,117,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11700,2.71,6,0,1388,55,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:24:19 2021,120,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11700,2.71,6,0,1388,57,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:24:22 2021,123,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11700,2.75,6,0,1388,57,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:24:25 2021,126,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11700,2.79,6,0,1388,57,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Thu Jun 10 15:24:28 2021,129,50113,00051,686N030004,30.00,30.00,100.00,NaCl 0.9%  250ml,11700,2.79,6,0,1388,59,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
