Time,RelativeTime,Address,Number of connected Space pillars,State of SpaceCom,Hardware protection,Last scanned barcode,Type of a segment,State of a segment,
Mon Jul 19 10:37:45 2021,>458,50100,1,00051,T,_NV,FMS1NSNS,00051,
Mon Jul 19 10:37:48 2021,>461,50100,1,00051,T,_NV,FMS1NSNS,00051,
Mon Jul 19 10:37:51 2021,>464,50100,1,00051,T,_NV,FMS1NSNS,00051,
Mon Jul 19 10:37:54 2021,>467,50100,1,00051,T,_NV,FMS1NSNS,00051,
Mon Jul 19 10:37:57 2021,>470,50100,1,00051,T,_NV,FMS1NSNS,00051,
Mon Jul 19 10:38:00 2021,>473,50100,1,00051,T,_NV,FMS1NSNS,00051,
Mon Jul 19 10:38:03 2021,>476,50100,1,00051,T,_NV,FMS1NSNS,00051,
Mon Jul 19 10:38:06 2021,>479,50100,1,00051,T,_NV,FMS1NSNS,00051,
Mon Jul 19 10:38:09 2021,>482,50100,1,00051,T,_NV,FMS1NSNS,00051,
Mon Jul 19 10:38:12 2021,>485,50100,1,00051,T,_NV,FMS1NSNS,00051,
