Time,RelativeTime,Address,Number of connected Space pillars,State of SpaceCom,Hardware protection,Last scanned barcode,Type of a segment,State of a segment,
Thu Jun 10 15:23:31 2021,>72,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:23:34 2021,>75,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:23:37 2021,>78,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:23:40 2021,>81,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:23:43 2021,>84,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:23:46 2021,>87,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:23:49 2021,>90,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:23:52 2021,>93,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:23:55 2021,>96,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:23:58 2021,>99,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:01 2021,>102,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:04 2021,>105,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:07 2021,>108,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:10 2021,>111,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:13 2021,>114,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:16 2021,>117,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:19 2021,>120,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:22 2021,>123,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:25 2021,>126,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:28 2021,>129,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:31 2021,>132,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:34 2021,>135,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:37 2021,>138,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:40 2021,>141,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:43 2021,>144,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:46 2021,>147,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:49 2021,>150,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:52 2021,>153,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:55 2021,>156,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:24:58 2021,>159,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:25:01 2021,>162,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:25:04 2021,>165,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:25:07 2021,>168,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:25:10 2021,>171,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:25:13 2021,>174,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:25:16 2021,>177,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:25:19 2021,>180,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:25:22 2021,>183,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:25:25 2021,>186,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:25:28 2021,>189,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:25:31 2021,>192,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:25:34 2021,>195,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:25:37 2021,>198,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:25:40 2021,>201,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:25:43 2021,>204,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:25:46 2021,>207,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:25:49 2021,>210,50100,1,00051,T,_NV,FMS1NSNS,00051,
