Time,RelativeTime,Address,Number of connected Space pillars,State of SpaceCom,Hardware protection,Last scanned barcode,Type of a segment,State of a segment,
Tue Aug  3 10:33:06 2021,>4517,50100,1,00051,T,_NV,FMS1NSNS,00051,
Tue Aug  3 10:33:11 2021,>4522,50100,1,00051,T,_NV,FMS1NSNS,00051,
Tue Aug  3 10:33:16 2021,>4527,50100,1,00051,T,_NV,FMS1NSNS,00051,
Tue Aug  3 10:33:21 2021,>4532,50100,1,00051,T,_NV,FMS1NSNS,00051,
Tue Aug  3 10:33:26 2021,>4537,50100,1,00051,T,_NV,FMS1NSNS,00051,
Tue Aug  3 10:33:31 2021,>4542,50100,1,00051,T,_NV,FMS1NSNS,00051,
Tue Aug  3 10:33:36 2021,>4547,50100,1,00051,T,_NV,FMS1NSNS,00051,
Tue Aug  3 10:33:41 2021,>4552,50100,1,00051,T,_NV,FMS1NSNS,00051,
Tue Aug  3 10:33:46 2021,>4557,50100,1,00051,T,_NV,FMS1NSNS,00051,
Tue Aug  3 10:33:51 2021,>4562,50100,1,00051,T,_NV,FMS1NSNS,00051,
Tue Aug  3 10:33:56 2021,>4567,50100,1,00051,T,_NV,FMS1NSNS,00051,
Tue Aug  3 10:34:01 2021,>4572,50100,1,00051,T,_NV,FMS1NSNS,00051,
Tue Aug  3 10:34:06 2021,>4577,50100,1,00051,T,_NV,FMS1NSNS,00051,
Tue Aug  3 10:34:11 2021,>4582,50100,1,00051,T,_NV,FMS1NSNS,00051,
Tue Aug  3 10:34:16 2021,>4587,50100,1,00051,T,_NV,FMS1NSNS,00051,
