Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Tue Aug  3 10:33:06 2021,4517,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,43,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Tue Aug  3 10:33:11 2021,4522,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,44,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Tue Aug  3 10:33:16 2021,4527,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,44,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Tue Aug  3 10:33:21 2021,4532,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,44,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Tue Aug  3 10:33:26 2021,4537,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,44,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Tue Aug  3 10:33:31 2021,4542,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,44,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Tue Aug  3 10:33:36 2021,4547,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,44,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Tue Aug  3 10:33:41 2021,4552,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,45,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Tue Aug  3 10:33:46 2021,4557,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,45,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Tue Aug  3 10:33:51 2021,4562,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,45,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Tue Aug  3 10:33:56 2021,4567,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,45,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Tue Aug  3 10:34:01 2021,4572,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,45,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Tue Aug  3 10:34:06 2021,4577,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,45,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Tue Aug  3 10:34:11 2021,4582,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,45,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Tue Aug  3 10:34:16 2021,4587,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,45,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
