Time,RelativeTime,Address,Number of connected Space pillars,State of SpaceCom,Hardware protection,Last scanned barcode,Type of a segment,State of a segment,
Wed Aug  4 11:00:34 2021,>275,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:00:39 2021,>280,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:00:44 2021,>285,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:00:49 2021,>290,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:00:54 2021,>295,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:00:59 2021,>300,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:01:04 2021,>305,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:01:09 2021,>310,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:01:14 2021,>315,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:01:19 2021,>320,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:01:24 2021,>325,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:01:29 2021,>330,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:01:34 2021,>335,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:01:39 2021,>340,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:01:44 2021,>345,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:01:49 2021,>350,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:01:54 2021,>355,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:01:59 2021,>360,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:02:04 2021,>365,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:02:09 2021,>370,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:02:14 2021,>375,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:02:19 2021,>380,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:02:24 2021,>385,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:02:29 2021,>390,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:02:34 2021,>395,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:02:39 2021,>400,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:02:44 2021,>405,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:02:49 2021,>410,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:02:54 2021,>415,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:02:59 2021,>420,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:03:04 2021,>425,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:03:09 2021,>430,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:03:14 2021,>435,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:03:19 2021,>440,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:03:24 2021,>445,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:03:29 2021,>450,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:03:34 2021,>455,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:03:39 2021,>460,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:03:44 2021,>465,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:03:49 2021,>470,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:03:54 2021,>475,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:03:59 2021,>480,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:04:04 2021,>485,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:04:09 2021,>490,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:04:14 2021,>495,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:04:19 2021,>500,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:04:24 2021,>505,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:04:29 2021,>510,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:04:34 2021,>515,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:04:39 2021,>520,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:04:44 2021,>525,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:04:49 2021,>530,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:04:54 2021,>535,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:04:59 2021,>540,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:05:04 2021,>545,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:05:09 2021,>550,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:05:14 2021,>555,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:05:19 2021,>560,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:05:24 2021,>565,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:05:29 2021,>570,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Aug  4 11:05:34 2021,>575,50100,1,00051,T,_NV,FMS1NSNS,00051,
