Time,RelativeTime,Address,Operation condition of a pump,Name of the pump model,Rate,Average rate between two requests,Volume to be infused,Medication long name,Remaining time until end of infusion,Volume infused,Infusion time,Battery time,Rest of standby time,Actual pressure in % of the maximum pressure,Unique identifier,Serial number of device,Power supply,Battery empty,Syringe empty,Pressure alarm,Standby over,CC-alarm,End of volume,Time over,Syringe alarm,Battery pre-alarm,Syringe empty pre-alarm,Drop alarm,Air alarm,KVO end,
Wed Aug  4 11:00:34 2021,275,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,247,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Wed Aug  4 11:00:39 2021,280,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,247,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Wed Aug  4 11:00:44 2021,285,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,247,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Wed Aug  4 11:00:49 2021,290,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,247,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Wed Aug  4 11:00:54 2021,295,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,247,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Wed Aug  4 11:00:59 2021,300,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,248,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Wed Aug  4 11:01:04 2021,305,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,248,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Wed Aug  4 11:01:09 2021,310,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,248,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Wed Aug  4 11:01:14 2021,315,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,248,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Wed Aug  4 11:01:19 2021,320,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,248,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Wed Aug  4 11:01:24 2021,325,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,248,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Wed Aug  4 11:01:29 2021,330,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,249,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Wed Aug  4 11:01:34 2021,335,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,249,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Wed Aug  4 11:01:39 2021,340,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,249,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
Wed Aug  4 11:01:44 2021,345,50113,00051,686N030004,0.00,0.00,0.00,_NV,0,0.00,0,249,0,0,68088FFF,561151,1,0,0,0,0,_NV,0,0,0,0,0,0,0,0,
