Time,RespiratoryRate,SpontaneousRespiratoryRate,PeakBreathingPressure,PEEPBreathingPressure,MinimalAirwayPressure,MeanBreathingPressure,InspO2,IntrinsicPEEPBreathingPressure
Thu Jun 10 14:30:35 2021,14,0,17,5,4,9,94,11.5
Thu Jun 10 14:30:38 2021,14,0,17,5,4,9,95,11.5
Thu Jun 10 14:30:41 2021,14,0,17,5,4,9,94,11.5
Thu Jun 10 14:30:44 2021,14,0,17,5,4,9,94,11.5
Thu Jun 10 14:30:47 2021,14,0,17,5,4,9,95,11.5
Thu Jun 10 14:30:50 2021,14,0,17,5,4,9,94,11.5
Thu Jun 10 14:30:53 2021,14,0,17,5,4,9,94,11.5
Thu Jun 10 14:30:56 2021,14,0,17,5,4,9,95,11.5
Thu Jun 10 14:30:59 2021,14,0,17,5,4,9,94,11.5
Thu Jun 10 14:31:02 2021,14,0,17,5,4,9,94,11.5
Thu Jun 10 14:31:05 2021,14,0,17,5,4,9,94,11.5
Thu Jun 10 14:31:08 2021,14,0,17,5,4,9,94,11.5
Thu Jun 10 14:31:11 2021,14,0,17,5,4,9,94,11.5
Thu Jun 10 14:31:14 2021,14,0,17,5,4,9,94,11.5
Thu Jun 10 14:31:20 2021,14,0,8,5,4,9,94,11.5
Thu Jun 10 14:31:23 2021,14,0,8,5,4,9,94,11.5
Thu Jun 10 14:31:26 2021,14,0,8,5,4,9,94,11.5
Thu Jun 10 14:31:29 2021,14,0,8,0,4,9,94,11.5
Thu Jun 10 14:31:32 2021,14,1,8,0,4,8,94,11.5
Thu Jun 10 14:31:35 2021,13,1,8,0,4,8,94,11.5
Thu Jun 10 14:31:38 2021,13,0,8,0,4,7,94,11.5
Thu Jun 10 14:31:41 2021,12,0,8,0,4,6,94,11.5
Thu Jun 10 14:31:44 2021,12,0,8,0,4,5,94,11.5
Thu Jun 10 14:31:47 2021,13,0,8,0,4,3,94,11.5
Thu Jun 10 14:31:50 2021,13,0,5,0,0,2,94,11.5
Thu Jun 10 14:31:53 2021,13,0,5,0,0,2,93,11.5
Thu Jun 10 14:31:56 2021,13,0,5,0,0,1,93,11.5
Thu Jun 10 14:31:59 2021,14,0,5,0,0,1,93,11.5
Thu Jun 10 14:32:05 2021,14,0,5,0,0,0,92,11.5
Thu Jun 10 14:32:08 2021,14,0,5,0,0,0,92,11.5
Thu Jun 10 14:32:11 2021,14,0,5,0,0,0,92,11.5
Thu Jun 10 14:32:14 2021,14,0,5,0,0,0,92,11.5
Thu Jun 10 14:32:17 2021,14,0,5,0,0,0,91,11.5
Thu Jun 10 14:32:20 2021,14,0,0,0,0,0,91,11.5
Thu Jun 10 14:32:23 2021,14,0,0,0,0,0,91,11.5
Thu Jun 10 14:32:26 2021,14,0,0,0,0,0,91,11.5
Thu Jun 10 14:32:29 2021,14,0,0,0,0,0,90,11.5
Thu Jun 10 14:32:32 2021,14,0,0,0,0,0,90,11.5
Thu Jun 10 14:32:35 2021,14,0,0,0,0,0,90,11.5
Thu Jun 10 14:32:38 2021,14,0,0,0,0,0,90,11.5
Thu Jun 10 14:32:41 2021,14,0,0,0,0,0,90,11.5
Thu Jun 10 14:32:44 2021,14,0,0,0,0,0,90,11.5
Thu Jun 10 14:32:50 2021,14,0,0,0,0,0,89,11.5
Thu Jun 10 14:32:53 2021,14,0,0,0,0,0,89,11.5
Thu Jun 10 14:32:56 2021,14,0,0,0,0,0,89,11.5
Thu Jun 10 14:32:59 2021,14,0,0,0,0,0,89,11.5
Thu Jun 10 14:33:02 2021,14,0,0,0,0,0,89,11.5
Thu Jun 10 14:33:05 2021,14,0,0,0,0,0,88,11.5
Thu Jun 10 14:33:08 2021,14,0,0,0,0,0,88,11.5
