Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:57:37 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:57:42 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:57:46 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:57:51 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:57:57 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:58:02 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:58:07 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:58:12 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:58:17 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:58:22 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:58:27 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:58:32 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:58:36 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:58:41 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:58:46 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:58:51 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:58:56 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:59:02 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:59:07 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Jun  4 09:59:12 2021,1.17,14.0, 30 , 40 , 60 ,
