Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Fri Jun  4 10:00:05 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Fri Jun  4 10:00:10 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Fri Jun  4 10:00:15 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Fri Jun  4 10:00:20 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Fri Jun  4 10:00:25 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Fri Jun  4 10:00:30 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Fri Jun  4 10:00:35 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Fri Jun  4 10:00:40 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Fri Jun  4 10:00:44 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Fri Jun  4 10:00:49 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Fri Jun  4 10:00:54 2021, 6.7, 30 ,
