Time,RespiratoryRate,SpontaneousRespiratoryRate,PeakBreathingPressure,PEEPBreathingPressure,MinimalAirwayPressure,MeanBreathingPressure,InspO2,IntrinsicPEEPBreathingPressure,
Fri Jun  4 10:02:41 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:02:45 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:02:51 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:02:56 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:03:01 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:03:06 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:03:11 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:03:16 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:03:21 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:03:26 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:03:31 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:03:36 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:03:41 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:03:45 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Time,RespiratoryRate,SpontaneousRespiratoryRate,PeakBreathingPressure,PEEPBreathingPressure,MinimalAirwayPressure,MeanBreathingPressure,InspO2,IntrinsicPEEPBreathingPressure,
Fri Jun  4 10:05:16 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:17 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:18 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:19 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:20 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:21 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:22 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:23 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:24 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:25 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:26 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:27 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:28 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:29 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:30 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:31 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:32 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:33 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:34 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:35 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:36 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:37 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:38 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:39 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:40 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:41 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:42 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:43 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:44 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:45 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:46 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:47 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:48 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
Fri Jun  4 10:05:48 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 20 ,11.5,
