Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Wed Aug  4 10:49:46 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:49:49 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:49:52 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:49:55 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:49:58 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:01 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:04 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:07 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:10 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:13 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:16 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:19 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:22 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:25 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:28 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:31 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:34 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:37 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:40 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:43 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:46 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:49 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:52 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:55 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:50:58 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:01 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:04 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:07 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:10 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:13 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:16 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:19 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:22 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:25 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:28 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:31 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:34 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:37 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:40 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:43 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:46 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:49 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:52 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:55 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:51:58 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:52:01 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:52:04 2021,1.17,14.0, 30 , 40 , 60 ,
Wed Aug  4 10:52:07 2021,1.17,14.0, 30 , 40 , 60 ,
