Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Wed Aug  4 10:49:45 2021, 6.7, 30 ,
Wed Aug  4 10:49:48 2021, 6.7, 30 ,
Wed Aug  4 10:49:51 2021, 6.7, 30 ,
Wed Aug  4 10:49:54 2021, 6.7, 30 ,
Wed Aug  4 10:49:57 2021, 6.7, 30 ,
Wed Aug  4 10:50:00 2021, 6.7, 30 ,
Wed Aug  4 10:50:03 2021, 6.7, 30 ,
Wed Aug  4 10:50:06 2021, 6.7, 30 ,
Wed Aug  4 10:50:09 2021, 6.7, 30 ,
Wed Aug  4 10:50:12 2021, 6.7, 30 ,
Wed Aug  4 10:50:15 2021, 6.7, 30 ,
Wed Aug  4 10:50:18 2021, 6.7, 30 ,
Wed Aug  4 10:50:21 2021, 6.7, 30 ,
Wed Aug  4 10:50:24 2021, 6.7, 30 ,
Wed Aug  4 10:50:27 2021, 6.7, 30 ,
Wed Aug  4 10:50:30 2021, 6.7, 30 ,
Wed Aug  4 10:50:33 2021, 6.7, 30 ,
Wed Aug  4 10:50:36 2021, 6.7, 30 ,
Wed Aug  4 10:50:39 2021, 6.7, 30 ,
Wed Aug  4 10:50:42 2021, 6.7, 30 ,
Wed Aug  4 10:50:45 2021, 6.7, 30 ,
Wed Aug  4 10:50:48 2021, 6.7, 30 ,
Wed Aug  4 10:50:51 2021, 6.7, 30 ,
Wed Aug  4 10:50:54 2021, 6.7, 30 ,
Wed Aug  4 10:50:57 2021, 6.7, 30 ,
Wed Aug  4 10:51:00 2021, 6.7, 30 ,
Wed Aug  4 10:51:03 2021, 6.7, 30 ,
Wed Aug  4 10:51:06 2021, 6.7, 30 ,
Wed Aug  4 10:51:09 2021, 6.7, 30 ,
Wed Aug  4 10:51:12 2021, 6.7, 30 ,
Wed Aug  4 10:51:15 2021, 6.7, 30 ,
Wed Aug  4 10:51:18 2021, 6.7, 30 ,
Wed Aug  4 10:51:21 2021, 6.7, 30 ,
Wed Aug  4 10:51:24 2021, 6.7, 30 ,
Wed Aug  4 10:51:27 2021, 6.7, 30 ,
Wed Aug  4 10:51:30 2021, 6.7, 30 ,
Wed Aug  4 10:51:33 2021, 6.7, 30 ,
Wed Aug  4 10:51:36 2021, 6.7, 30 ,
Wed Aug  4 10:51:39 2021, 6.7, 30 ,
Wed Aug  4 10:51:42 2021, 6.7, 30 ,
Wed Aug  4 10:51:45 2021, 6.7, 30 ,
Wed Aug  4 10:51:48 2021, 6.7, 30 ,
Wed Aug  4 10:51:51 2021, 6.7, 30 ,
Wed Aug  4 10:51:54 2021, 6.7, 30 ,
Wed Aug  4 10:51:57 2021, 6.7, 30 ,
Wed Aug  4 10:52:00 2021, 6.7, 30 ,
Wed Aug  4 10:52:03 2021, 6.7, 30 ,
Wed Aug  4 10:52:06 2021, 6.7, 30 ,
Wed Aug  4 10:52:09 2021, 6.7, 30 ,
