Time,RespiratoryRate,SpontaneousRespiratoryRate,PeakBreathingPressure,PEEPBreathingPressure,MinimalAirwayPressure,MeanBreathingPressure,InspO2,IntrinsicPEEPBreathingPressure,
Wed Aug  4 10:49:44 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:49:47 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:49:50 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:49:53 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:49:56 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:49:59 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:02 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:05 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:08 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:11 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:14 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:17 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:20 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:23 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:26 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:29 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:32 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:35 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:38 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:41 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:44 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:47 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:50 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:53 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:56 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:50:59 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:02 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:05 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:08 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:11 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:14 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:17 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:20 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:23 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:26 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:29 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:32 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:35 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:38 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:41 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:44 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:47 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:50 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:53 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:56 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:51:59 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:52:02 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:52:05 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Wed Aug  4 10:52:08 2021, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
