Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Wed Jun  9 11:50:14 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Wed Jun  9 11:50:15 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Wed Jun  9 11:50:16 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Wed Jun  9 11:50:17 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Wed Jun  9 11:50:18 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Wed Jun  9 11:50:19 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Wed Jun  9 11:50:20 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Wed Jun  9 11:50:21 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Wed Jun  9 11:50:22 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Wed Jun  9 11:50:23 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Wed Jun  9 11:50:24 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Wed Jun  9 11:50:25 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Wed Jun  9 11:50:26 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Wed Jun  9 11:50:27 2021,1.17,14.0, 30 , 40 , 60 ,
