Time,Oxygen,InspTidalVolume,InspiratoryTime,IPart,EPart,FrequencyIMV,PEEP,ApneaTime,PressureSupportPressure,TachyapneaFrequency,FlowTrigger,ASBRamp,
Wed May 26 14:55:39 2021,  80 ,0.590, 1.50,  1.0,  1.9, 14.0,  5.0,  20 , 17.0,  30 ,  5.0, 0.20,
Wed May 26 14:55:44 2021,  80 ,0.590, 1.50,  1.0,  1.9, 14.0,  5.0,  20 , 17.0,  30 ,  5.0, 0.20,
Wed May 26 14:55:49 2021,  80 ,0.590, 1.50,  1.0,  1.9, 14.0,  5.0,  20 , 17.0,  30 ,  5.0, 0.20,
Wed May 26 14:55:54 2021,  80 ,0.590, 1.50,  1.0,  1.9, 14.0,  5.0,  20 , 17.0,  30 ,  5.0, 0.20,
Wed May 26 14:55:59 2021,  80 ,0.590, 1.50,  1.0,  1.9, 14.0,  5.0,  20 , 17.0,  30 ,  5.0, 0.20,
Wed May 26 14:56:04 2021,  80 ,0.590, 1.50,  1.0,  1.9, 14.0,  5.0,  20 , 17.0,  30 ,  5.0, 0.20,
Wed May 26 14:56:09 2021,  80 ,0.590, 1.50,  1.0,  1.9, 14.0,  5.0,  20 , 17.0,  30 ,  5.0, 0.20,
Wed May 26 14:56:14 2021,  80 ,0.590, 1.50,  1.0,  1.9, 14.0,  5.0,  20 , 17.0,  30 ,  5.0, 0.20,
Wed May 26 14:56:19 2021,  80 ,0.590, 1.50,  1.0,  1.9, 14.0,  5.0,  20 , 17.0,  30 ,  5.0, 0.20,
Wed May 26 14:56:24 2021,  80 ,0.590, 1.50,  1.0,  1.9, 14.0,  5.0,  20 , 17.0,  30 ,  5.0, 0.20,
Wed May 26 14:56:29 2021,  80 ,0.590, 1.50,  1.0,  1.9, 14.0,  5.0,  20 , 17.0,  30 ,  5.0, 0.20,
Wed May 26 14:56:34 2021,  80 ,0.590, 1.50,  1.0,  1.9, 14.0,  5.0,  20 , 17.0,  30 ,  5.0, 0.20,
