Time,RespiratoryRate,SpontaneousRespiratoryRate,PeakBreathingPressure,PEEPBreathingPressure,MinimalAirwayPressure,MeanBreathingPressure,InspO2,IntrinsicPEEPBreathingPressure,
Wed May 19 16:29:32 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:29:37 2021, 28 , 14 , 18 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:29:42 2021, 28 , 14 , 18 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:29:48 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:29:53 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:29:58 2021, 28 , 14 , 18 ,  4 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:30:03 2021, 28 , 14 , 17 ,  4 ,  4 , 13 , 95 ,11.5,
Wed May 19 16:30:08 2021, 29 , 15 , 25 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:30:12 2021, 30 , 16 , 21 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:30:17 2021, 31 , 17 , 18 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:30:22 2021, 30 , 16 , 17 ,  5 ,  4 , 14 , 96 ,11.5,
Wed May 19 16:30:27 2021, 29 , 16 , 17 ,  5 ,  4 , 14 , 96 ,11.5,
Wed May 19 16:30:32 2021, 29 , 15 , 17 ,  5 ,  4 , 14 , 96 ,11.5,
Wed May 19 16:30:37 2021, 28 , 14 , 18 ,  5 ,  4 , 13 , 95 ,11.5,
Wed May 19 16:30:42 2021, 28 , 14 , 18 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:30:47 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:30:52 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:30:58 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:31:03 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:31:07 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:31:12 2021, 28 , 14 , 18 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:31:17 2021, 28 , 14 , 18 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:31:22 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:31:27 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:31:32 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:31:37 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:31:42 2021, 28 , 14 , 18 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:31:47 2021, 28 , 14 , 18 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:31:53 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:31:58 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:32:03 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:32:08 2021, 28 , 14 , 18 ,  5 ,  4 , 13 , 95 ,11.5,
Wed May 19 16:32:13 2021, 28 , 14 , 18 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:32:17 2021, 28 , 14 , 18 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:32:22 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:32:27 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:32:32 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:32:37 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:32:42 2021, 28 , 14 , 18 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:32:47 2021, 28 , 14 , 18 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:32:52 2021, 28 , 14 , 17 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:32:58 2021, 28 , 14 , 18 ,  5 ,  4 , 13 , 96 ,11.5,
Wed May 19 16:33:03 2021, 28 , 14 , 18 ,  5 ,  4 , 13 , 95 ,11.5,
Wed May 19 16:33:08 2021, 26 , 13 , 18 ,  5 ,  4 , 12 , 95 ,11.5,
Wed May 19 16:33:13 2021, 21 , 11 , 18 ,  5 ,  4 , 10 , 95 ,11.5,
Wed May 19 16:33:17 2021, 15 ,  8 , 18 ,  5 ,  4 ,  7 , 95 ,11.5,
Wed May 19 16:33:22 2021,  9 ,  5 , 18 ,  5 ,  4 ,  4 , 95 ,11.5,
Wed May 19 16:33:27 2021,  5 ,  3 , 17 ,  5 ,  0 ,  2 , 94 ,11.5,
